date,dec16
2012/11/27,8.37
2012/11/28,8.36
2012/11/29,8.11
2012/11/30,7.65
2012/12/03,7.35
2012/12/04,7.19
2012/12/05,7.5
2012/12/06,7.76
2012/12/07,8.2
2012/12/10,8.54
2012/12/11,8.23
2012/12/12,8.07
2012/12/13,8.03
2012/12/14,7.95
2012/12/17,7.76
2012/12/18,8
2012/12/19,8.03
2012/12/20,8.47
2012/12/21,8.28
2012/12/24,8.19
2012/12/27,8.14
2012/12/28,7.73
2012/12/31,7.69
2013/01/02,7.58
2013/01/03,7.38
2013/01/04,7.35
2013/01/07,7.62
2013/01/08,7.55
2013/01/09,7.31
2013/01/10,7.05
2013/01/11,6.85
2013/01/14,6.7
2013/01/15,6.98
2013/01/16,6.82
2013/01/17,6.46
2013/01/18,6.1
2013/01/21,5.81
2013/01/22,6.09
2013/01/23,5.7
2013/01/24,5.24
2013/01/25,4.67
2013/01/28,4.7
2013/01/29,4.66
2013/01/30,4.51
2013/01/31,4.13
2013/02/01,3.83
2013/02/04,5.01
2013/02/05,4.94
2013/02/06,5.07
2013/02/07,4.82
2013/02/08,5.07
2013/02/11,5.05
2013/02/12,5.31
2013/02/13,5.54
2013/02/14,6.03
2013/02/15,5.99
2013/02/18,5.98
2013/02/19,5.45
2013/02/20,5.71
2013/02/21,6.05
2013/02/22,6
2013/02/25,5.51
2013/02/26,5.05
2013/02/27,5.03
2013/02/28,5.22
2013/03/01,5.49
2013/03/04,5.45
2013/03/05,5.04
2013/03/06,4.99
2013/03/07,4.86
2013/03/08,4.87
2013/03/11,4.62
2013/03/12,4.4
2013/03/13,4.25
2013/03/14,4.25
2013/03/15,4.38
2013/03/18,4.14
2013/03/19,4.03
2013/03/20,4.36
2013/03/21,4.91
2013/03/22,4.84
2013/03/25,4.84
2013/03/26,5.23
2013/03/27,5.57
2013/03/28,5.51
2013/04/02,5.23
2013/04/03,5.7
2013/04/04,5.58
2013/04/05,5.88
2013/04/08,5.93
2013/04/09,5.61
2013/04/10,5.38
2013/04/11,4.94
2013/04/12,5.14
2013/04/15,5.43
2013/04/16,3.87
2013/04/17,3.23
2013/04/18,3.31
2013/04/19,3.65
2013/04/22,3.34
2013/04/23,3.18
2013/04/24,3.44
2013/04/25,3.39
2013/04/26,3.53
2013/04/29,3.74
2013/04/30,3.66
2013/05/01,3.38
2013/05/02,3.38
2013/05/03,4.07
2013/05/06,4.16
2013/05/07,4.21
2013/05/08,4.07
2013/05/09,4.24
2013/05/10,4.05
2013/05/13,3.76
2013/05/14,3.98
2013/05/15,4.03
2013/05/16,4.04
2013/05/17,4.14
2013/05/20,4.16
2013/05/21,4.04
2013/05/22,3.86
2013/05/23,3.83
2013/05/24,3.87
2013/05/27,4
2013/05/28,4.04
2013/05/29,4.3
2013/05/30,4.37
2013/05/31,4.55
2013/06/03,4.46
2013/06/04,4.61
2013/06/05,4.56
2013/06/06,3.56
2013/06/07,4.78
2013/06/10,4.74
2013/06/11,4.63
2013/06/12,4.9
2013/06/13,5.09
2013/06/14,5.09
2013/06/17,5.3
2013/06/18,5.26
2013/06/19,5.1
2013/06/20,4.96
2013/06/21,4.91
2013/06/24,4.8
2013/06/25,4.69
2013/06/26,4.95
2013/06/27,4.9
2013/06/28,4.92
2013/07/01,4.69
2013/07/02,4.86
2013/07/03,4.87
2013/07/04,5.15
2013/07/05,4.76
2013/07/08,4.68
2013/07/09,4.65
2013/07/10,4.54
2013/07/11,4.58
2013/07/12,4.5
2013/07/15,4.52
2013/07/16,4.62
2013/07/17,4.62
2013/07/18,4.64
2013/07/19,4.62
2013/07/22,4.67
2013/07/23,4.8
2013/07/24,4.86
2013/07/25,4.84
2013/07/26,4.85
2013/07/29,4.86
2013/07/30,4.88
2013/07/31,4.78
2013/08/01,4.9
2013/08/02,4.93
2013/08/05,4.99
2013/08/06,5.04
2013/08/07,5.01
2013/08/08,5.04
2013/08/09,5.1
2013/08/12,4.93
2013/08/13,4.85
2013/08/14,4.91
2013/08/15,4.91
2013/08/16,4.9
2013/08/19,4.84
2013/08/20,4.84
2013/08/21,4.86
2013/08/22,4.99
2013/08/23,5.02
2013/08/26,4.97
2013/08/27,4.96
2013/08/28,5.11
2013/08/29,5.1
2013/08/30,5.09
2013/09/02,5.04
2013/09/03,4.94
2013/09/04,5
2013/09/05,5.4
2013/09/06,5.57
2013/09/09,5.97
2013/09/10,5.8
2013/09/11,5.76
2013/09/12,6.01
2013/09/13,6.18
2013/09/16,6.07
2013/09/17,6.15
2013/09/18,6.36
2013/09/19,6.11
2013/09/20,5.98
2013/09/23,5.96
2013/09/24,6.13
2013/09/25,6.07
2013/09/26,6.09
2013/09/27,6.08
2013/09/30,5.82
2013/10/01,5.82
2013/10/02,5.95
2013/10/03,5.92
2013/10/04,5.84
2013/10/07,5.75
2013/10/08,5.55
