date,dec16
2013/10/09,5.4
2013/10/10,5.36
2013/10/11,5.23
2013/10/14,5.25
2013/10/15,5.67
2013/10/16,5.67
2013/10/17,6.04
2013/10/18,5.58
2013/10/21,5.72
2013/10/22,5.28
2013/10/23,5.22
2013/10/24,5.26
2013/10/25,5.36
2013/10/28,5.48
2013/10/29,5.44
2013/10/30,5.68
2013/10/31,5.55
2013/11/01,5.27
2013/11/04,5.25
2013/11/05,5.39
2013/11/06,5.46
2013/11/07,5.46
2013/11/08,5.33
2013/11/11,5.12
2013/11/12,5.22
2013/11/13,5.27
2013/11/14,5.25
2013/11/15,5.09
2013/11/18,5.02
2013/11/19,5.1
2013/11/20,5.06
2013/11/21,5.05
2013/11/22,5.08
2013/11/25,5
2013/11/26,5.04
2013/11/27,5.14
2013/11/28,5.01
2013/11/29,4.93
2013/12/02,5
2013/12/03,5.06
2013/12/04,5.01
2013/12/05,5.09
2013/12/06,5.24
2013/12/09,5.25
2013/12/10,5.42
2013/12/11,5.52
2013/12/12,5.32
2013/12/13,5.4
2013/12/16,5.3
2013/12/17,5.23
2013/12/18,5.47
2013/12/19,5.49
2013/12/20,5.35
2013/12/23,5.27
2013/12/24,5.25
2013/12/27,5.41
2013/12/30,5.4
2013/12/31,5.33
2014/01/02,5.25
2014/01/03,5.18
2014/01/06,5.17
2014/01/07,5.09
2014/01/08,5.16
2014/01/09,5.03
2014/01/10,4.96
2014/01/13,5
2014/01/14,5.3
2014/01/15,5.35
2014/01/16,5.56
2014/01/17,5.65
2014/01/20,5.52
2014/01/21,5.43
2014/01/22,5.66
2014/01/23,5.57
2014/01/24,5.72
2014/01/27,5.97
2014/01/28,6.13
2014/01/29,6.07
2014/01/30,6.24
2014/01/31,6.22
2014/02/03,6.32
2014/02/04,6.59
2014/02/05,6.7
2014/02/06,6.98
2014/02/07,7.27
2014/02/10,7.12
2014/02/11,6.99
2014/02/12,7.15
2014/02/13,7.09
2014/02/14,7.18
2014/02/17,7.51
2014/02/18,7.51
2014/02/19,7.63
2014/02/20,7.82
2014/02/21,7.71
2014/02/24,7.89
2014/02/25,7.43
2014/02/26,6.97
2014/02/27,7.19
2014/02/28,7.7
2014/03/03,7.71
2014/03/04,7.46
2014/03/05,7.56
2014/03/06,7.51
2014/03/07,7.57
2014/03/10,7.62
2014/03/11,7.55
2014/03/12,7.26
2014/03/13,7.21
2014/03/14,6.95
2014/03/17,6.64
2014/03/18,6.41
2014/03/19,6.61
2014/03/20,6.59
2014/03/21,6.78
2014/03/24,6.55
2014/03/25,6.47
2014/03/26,6.48
2014/03/27,6
2014/03/28,4.97
2014/03/31,4.74
2014/04/01,5.45
2014/04/02,5.24
2014/04/03,5.15
2014/04/04,5.17
2014/04/07,5.38
2014/04/08,5.45
2014/04/09,5.39
2014/04/10,5.53
2014/04/11,5.71
2014/04/14,5.8
2014/04/15,5.79
2014/04/16,6.03
2014/04/17,5.95
2014/04/22,6.2
2014/04/23,6.19
2014/04/24,6.26
2014/04/25,5.97
2014/04/28,5.69
2014/04/29,5.85
2014/04/30,5.92
2014/05/01,5.9
2014/05/02,5.68
2014/05/05,5.67
2014/05/06,5.75
2014/05/07,5.67
2014/05/08,5.6
2014/05/09,5.64
2014/05/12,5.77
2014/05/13,5.79
2014/05/14,5.72
2014/05/15,5.25
2014/05/16,5.18
2014/05/19,5.11
2014/05/20,5.1
2014/05/21,5.51
2014/05/22,5.69
2014/05/23,5.58
2014/05/26,5.52
2014/05/27,5.55
2014/05/28,5.66
2014/05/29,5.65
2014/05/30,5.58
2014/06/02,5.49
2014/06/03,5.66
2014/06/04,5.89
2014/06/05,5.91
2014/06/06,5.92
2014/06/09,5.99
2014/06/10,5.95
2014/06/11,5.92
2014/06/12,5.9
2014/06/13,6.11
2014/06/16,6.14
2014/06/17,6.08
2014/06/18,6.16
2014/06/19,6.03
2014/06/20,6.06
2014/06/23,6.16
2014/06/24,6.27
2014/06/25,6.17
2014/06/26,6.16
2014/06/27,6.15
2014/06/30,6.28
2014/07/01,6.35
2014/07/02,6.45
2014/07/03,6.42
2014/07/04,6.2
2014/07/07,5.92
2014/07/08,6.06
2014/07/09,6.17
2014/07/10,6.1
2014/07/11,6.09
2014/07/14,6.18
2014/07/15,6.32
2014/07/16,6.36
2014/07/17,6.42
2014/07/18,6.43
2014/07/21,6.42
2014/07/22,6.54
2014/07/23,6.55
2014/07/24,6.45
2014/07/25,6.42
2014/07/28,6.49
2014/07/29,6.5
2014/07/30,6.44
2014/07/31,6.52
2014/08/01,6.65
2014/08/04,6.58
2014/08/05,6.56
2014/08/06,6.6
2014/08/07,6.49
2014/08/08,6.32
2014/08/11,6.4
2014/08/12,6.43
2014/08/13,6.5
2014/08/14,6.58
2014/08/15,6.61
2014/08/18,6.72
2014/08/19,6.74
2014/08/20,6.74
2014/08/21,6.69
2014/08/22,6.72
2014/08/25,6.68
2014/08/26,6.63
2014/08/27,6.67
2014/08/28,6.76
2014/08/29,6.77
2014/09/01,6.7
2014/09/02,6.74
2014/09/03,6.67
2014/09/04,6.54
2014/09/05,6.43
2014/09/08,6.6
2014/09/09,6.47
2014/09/10,6.38
2014/09/11,6.4
2014/09/12,6.35
2014/09/15,6.25
2014/09/16,6.1
2014/09/17,6.09
2014/09/18,6.18
2014/09/19,6.23
2014/09/22,6.28
2014/09/23,6.05
2014/09/24,5.97
2014/09/25,6.03
2014/09/26,6.1
2014/09/29,6.06
2014/09/30,5.98
2014/10/01,6.04
2014/10/02,5.98
2014/10/03,5.81
2014/10/06,5.88
2014/10/07,5.91
2014/10/08,6.05
2014/10/09,6.31
2014/10/10,6.26
2014/10/13,6.26
2014/10/14,6.29
2014/10/15,6.35
2014/10/16,6.45
2014/10/17,6.47
2014/10/20,6.33
2014/10/21,6.44
2014/10/22,6.47
2014/10/23,6.49
2014/10/24,6.64
2014/10/27,6.6
2014/10/28,6.49
2014/10/29,6.48
2014/10/30,6.67
2014/10/31,6.6
2014/11/03,6.66
2014/11/04,6.83
2014/11/05,6.79
2014/11/06,6.89
2014/11/07,6.86
2014/11/10,6.97
2014/11/11,7.01
2014/11/12,7.07
2014/11/13,7.04
2014/11/14,6.95
2014/11/17,6.96
2014/11/18,7.24
2014/11/19,7.24
2014/11/20,7.23
2014/11/21,7.19
2014/11/24,7.32
2014/11/25,7.34
2014/11/26,7.45
2014/11/27,7.4
2014/11/28,7.3
2014/12/01,7.28
2014/12/02,7.25
2014/12/03,7.12
2014/12/04,7.05
2014/12/05,6.95
2014/12/08,6.89
2014/12/09,6.92
2014/12/10,6.87
2014/12/11,6.87
2014/12/12,6.88
2014/12/15,7
2014/12/16,7.15
2014/12/17,7.27
2014/12/18,7.24
2014/12/19,7.29
2014/12/22,7.3
2014/12/23,7.47
2014/12/24,7.6
2014/12/29,7.43
2014/12/30,7.44
2014/12/31,7.47
2015/01/02,7.32
2015/01/05,7.17
2015/01/06,7.03
2015/01/07,6.93
2015/01/08,6.99
2015/01/09,6.97
2015/01/12,6.85
2015/01/13,7.24
2015/01/14,7.41
2015/01/15,7.42
2015/01/16,7.32
2015/01/19,7.44
2015/01/20,7.45
2015/01/21,7.51
2015/01/22,7.24
2015/01/23,7.04
2015/01/26,7.01
2015/01/27,7.05
2015/01/28,7.04
2015/01/29,7.2
